antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Phones'}),frozenset({'Paper'}),0.16250748652425634,0.23777201038131363,0.034937113196246754,0.21498771498771496,0.9041758726897265,1.0,-0.0037026185766399072,0.9709758740995472,-0.11232926734895238,0.09562841530054644,-0.029891706554881013,0.1809615317171992
frozenset({'Labels'}),frozenset({'Binders'}),0.06907566380515073,0.2627270912357756,0.01637053304052705,0.23699421965317916,0.902054746385087,1.0,-0.001777515186180547,0.9662743425470517,-0.10445377127814055,0.05189873417721519,-0.03490277653864758,0.14965212502415798
frozenset({'Accessories'}),frozenset({'Paper'}),0.14334198442802953,0.23777201038131363,0.03054501896586145,0.21309192200557106,0.8962027181577712,1.0,-0.0035376928436380815,0.9686366310552509,-0.11909688118891565,0.08712984054669703,-0.03237887969462926,0.17077769903805
frozenset({'Tables'}),frozenset({'Binders'}),0.0612896785785586,0.2627270912357756,0.014174485925334398,0.23127035830618892,0.8802684078690732,1.0,-0.0019279730503859258,0.959079588943292,-0.1265596588307627,0.04574742268041237,-0.04266633502418078,0.14261086304367196
frozenset({'Binders'}),frozenset({'Paper'}),0.2627270912357756,0.23777201038131363,0.05490117787981633,0.20896656534954408,0.8788526665288551,1.0,-0.007567970784948835,0.9635850473949963,-0.1575179848953424,0.12320788530465952,-0.03779111423890352,0.21993248502573765
frozenset({'Paper'}),frozenset({'Binders'}),0.23777201038131363,0.2627270912357756,0.05490117787981633,0.23089840470193118,0.8788526665288551,1.0,-0.007567970784948835,0.9586157580111259,-0.15315071166957422,0.12320788530465952,-0.04317083423992056,0.21993248502573765
frozenset({'Art'}),frozenset({'Paper'}),0.1459373128368936,0.23777201038131363,0.029946097025354362,0.2051983584131327,0.8630046828643003,1.0,-0.004753711237520518,0.9590166272138722,-0.15673527637715504,0.08465011286681716,-0.04273478855647415,0.1655714713980021
frozenset({'Furnishings'}),frozenset({'Binders'}),0.17508484727490517,0.2627270912357756,0.03952884807346776,0.225769669327252,0.8593315149393658,1.0,-0.006470684570528087,0.9522655979178569,-0.1655811505722672,0.09924812030075188,-0.050127193701542,0.18811279818946186
frozenset({'Accessories'}),frozenset({'Binders'}),0.14334198442802953,0.2627270912357756,0.032142144140547016,0.2242339832869081,0.8534863391216738,1.0,-0.005517678480193022,0.9503805179402391,-0.16693677724318373,0.08595835557928458,-0.0522101212336521,0.1732872044094115
frozenset({'Furnishings'}),frozenset({'Paper'}),0.17508484727490517,0.23777201038131363,0.03533639448991815,0.20182440136830104,0.8488147997093367,1.0,-0.006293881633941317,0.9549627812794113,-0.17757551631773194,0.09360126916975145,-0.04716122932063385,0.17521950547004472
frozenset({'Envelopes'}),frozenset({'Binders'}),0.04971052106208824,0.2627270912357756,0.010780594929127571,0.2168674698795181,0.8254476874061598,1.0,-0.00227970567332963,0.9414407911912405,-0.18202127050197608,0.035737921906022506,-0.06220169059666768,0.12895045226498703
frozenset({'Chairs'}),frozenset({'Binders'}),0.11499301257736075,0.2627270912357756,0.023757236973447796,0.20659722222222224,0.7863567523640663,1.0,-0.006454542733441152,0.9292542569982347,-0.23488263482781016,0.06711787930062042,-0.07613173947708873,0.14851137706855794
frozenset({'Art'}),frozenset({'Binders'}),0.1459373128368936,0.2627270912357756,0.029946097025354362,0.2051983584131327,0.7810323535648798,1.0,-0.008395588679048105,0.9276187544004271,-0.24713672616519575,0.07907221929362152,-0.07802908819621399,0.1595900606655329
